"ISBN","User-ID","Book-Rating","Book-Title","Book-Author","Year-Of-Publication"
"0136155596",219546,0,"Appleton-Cuyas Spanish English/English Spanish Dictionary","Arturo Cuyas",1982
"0136174248",123094,10,"Western Heritage, The, Vol. I (to 1715; Chpts. 1-15)","Donald Kagan",1997
"0136174248",255856,0,"Western Heritage, The, Vol. I (to 1715; Chpts. 1-15)","Donald Kagan",1997
"0136174329",211426,0,"Western Heritage, The Vol. II (Since 1648; Chpts. 13-31)","Donald Kagan",1997
"0136184480",108336,8,"Renaissance Florence: The Invention of a New Art","Richard Turner",1999
"0136184553",108336,7,"Art and Life in Renaissance Venice","Patricia Fortini Brown",1997
"0136185886",70953,5,"The Prentice Hall Directory of Online Education Resources","Vicki Smith Bigham",1998
"0136190731",219546,0,"Home and Office Desk Reference","Mary Ann De Vries",1997
"0136190812",178181,0,"Camps Unfamiliar Quotations From Bc","Wesley D. Camp",1998
"0136204449",146348,0,"New York Public Library Desk Reference (New York Public Library Desk Reference)","Vartan Gregorian",1989
"0136204449",208141,10,"New York Public Library Desk Reference (New York Public Library Desk Reference)","Vartan Gregorian",1989
"0136204449",213350,0,"New York Public Library Desk Reference (New York Public Library Desk Reference)","Vartan Gregorian",1989
"0136204511",213350,0,"New York Public Library Book of Chronologies","Bruce Wetterau",1990
"0136210619",189334,0,"New York on 50 Dollars a Day (Frommer's Budget Travel Guide S.)","Unknown",1988
"0136225063",17278,7,"Nine-Day Inner Cleansing and Blood Wash for Renewed Youthfulness and Health","I. E. Gaumont",1980
"0136225063",150124,0,"Nine-Day Inner Cleansing and Blood Wash for Renewed Youthfulness and Health","I. E. Gaumont",1980
"0136226973",249862,0,"Nineteenth-Century Romanticism in Music (Prentice Hall history of music series)","Rey Morgan Longyear",1988
"0136231586",64010,7,"No-Nonsense Nutrition for Your Baby's First Year","A. Natow",1988
"0136243622",106007,0,"North American Indians: A Comprehensive Account (2nd Edition)","Alice B. Kehoe",1992
"013624842X",81511,0,"Software Engineering: Theory and Practice","Shari Lawrence Pfleeger",1998
"013624842X",195085,5,"Software Engineering: Theory and Practice","Shari Lawrence Pfleeger",1998
"0136291554",236593,10,"Object-Oriented Software Construction (Book/CD-ROM) (2nd Edition)","Bertrand Meyer",2000
"0136295029",70222,0,"Surviving the Information Age","Jim Carroll",1996
"0136295932",224349,0,"What's the Big Idea? Writing Through Reading and Thinking","Phoebe Reeves",1998
"0136296750",249894,7,"Oceanography: A view of the earth","M. Grant Gross",1977
"0136298257",113983,0,"Designing Object-Oriented Software","Rebecca Wirfs-Brock",1990
"0136298257",121251,0,"Designing Object-Oriented Software","Rebecca Wirfs-Brock",1990
"0136298419",121251,0,"Object-Oriented Modeling and Design","James R Rumbaugh",1990
"0136298419",169024,5,"Object-Oriented Modeling and Design","James R Rumbaugh",1990
"013630138X",208141,10,"The Old Testament Story","John H. Tullock",1991
"0136302459",113983,0,"Object-Oriented Analysis and Design","James Martin",1992
"0136309062",60114,0,"Office on the Go: Tools, Tips and Techniques for Every Business Traveler","Kim Baker",1993
"0136318053",184465,7,"Problem Solving and Programming Concepts","Maureen Sprankle",1997
"0136334474",21011,5,"On Time/on Budget: A Step-By-Step Guide for Managing Any Project","Sunny Baker",1992
"0136338925",274549,6,"The Old Testament story","John H Tullock",1987
"0136362346",12548,5,"Open Systems (Prentice Hall Series in Innovative Technology)","Gary J. Nutt",1991
"0136369448",106816,7,"100 Ways to Enhance Self-Concept in the Classroom: A Handbook for Teachers and Parents (Prentice-Hall Curriculum and Teaching Series)","Harold Clive Wells",1976
"0136372325",100906,8,"Open Door to French","Margarita Madrigal",1963
"0136382541",247429,0,"Options in Rhetoric: Writing and Reading","Sylvia A. Holladay",1981
"0136386776",29139,9,"Operating Systems: Design and Implementation (Second Edition)","Andrew S. Tanenbaum",1997
"013639048X",42400,0,"Organizational Behavior: Concepts, Controversies and Applications","Stephen P. Robbins",1992
"0136396178",65258,8,"Orchids and How to Grow Them (A Spectrum book)","Gloria Jean. Sessler",1978
"0136406165",113983,0,"Style Guide: Release 1.1 (Osf/Motif Series)","PTR Review",1991
"0136406734",113983,0,"Programmer's Guide: Release 1.1 (Osf/Motif Series)","PTR Review",1991
"0136406815",113983,0,"Programmer's Reference: Release 1.1 (Ost/Motif Series)","Open Software Foundation",1991
"0136416896",146348,8,"Treasury of Womens Quotes","Carolyn Warner",1997
"0136416896",228206,10,"Treasury of Womens Quotes","Carolyn Warner",1997
"0136436692",171118,0,"Organic Chemistry (6th Edition)","Robert T. Morrison",1992
"0136440711",53545,8,"Being Human: An Introduction to Cultural Anthropology","Mari Womack",1997
"0136474217",178920,7,"Short History of the French Revolution, A","Jeremy D. Popkin",1997
"0136477275",259264,0,"Pagans, priests, and prophets: A personal investigation into the living traditions of occult Mexico","David St. Clair",1976
"0136508138",110406,0,"Parents' Guide to Raising Responsible Kids: Preschool Through Teen Years (Children's Television Workshop Family Living Series)","Karyn Feiden",1991
"0136538258",148898,10,"Society: The Basics","John J. MacIonis",1997
"0136563155",260531,0,"SUCCESS IN MULTI LEVEL MARKETING","Gini Graham Scott",1991
"013656562X",114581,0,"American Journey: A History of the United States, Brief, Volume I","David Goldfield",1999
"0136571719",93629,0,"Performing Literature: An Introduction to Oral Interpretation","Beverly Whitaker, Long",1982
"0136571972",80683,5,"The perennial avantgarde","Gerald Sykes",1971
"0136575773",171118,0,"Personal Space: The Behavioral Basis of Design","Robert Sommer",1969
"0136585019",187520,0,"Personnel Management: A New Approach","Derek Torrington",1987
"0136589073",94923,0,"Human Resource Management","Gray Dessler",1994
"0136626289",101876,0,"Philosophy of Religion (4th Edition)","John H. Hick",1989
"0136626289",156150,0,"Philosophy of Religion (4th Edition)","John H. Hick",1989
"0136639488",201526,0,"Philosophy of religion (Foundations of philosophy series)","John Hick",1973
"0136639488",234828,7,"Philosophy of religion (Foundations of philosophy series)","John Hick",1973
"0136643345",278418,0,"Phone calls from the dead","D. Scott Rogo",1979
"0136643345",238120,0,"Phone calls from the dead","D. Scott Rogo",1979
"0136664059",238186,0,"Physical Geology","Sheldon Judson",1990
"0136714897",2337,10,"Quotations from Women on Life","Rosalie Maggio",1997
"0136714897",225810,0,"Quotations from Women on Life","Rosalie Maggio",1997
"0136724299",92652,0,"Physics for career education","Dale Ewen",1988
"0136746640",83034,0,"Writing for a Lifetime: Contemporary Readings from Popular Sources","Jane Maher",2000
"0136746640",259078,0,"Writing for a Lifetime: Contemporary Readings from Popular Sources","Jane Maher",2000
"013675869X",167471,7,"Piece by Piece: The Complete Book of Quiltmaking","Dianne Finnegan",1991
"013680604X",113983,0,"Parallel Systems in the Data Warehouse (Data Warehousing Institute Series from Prentice Hall)","Stephen Morse",1997
"0136816282",236948,6,"Plato's Vision: The Classical Origins of Social and Political Thought","Irving Zeitlin",1993
"0136834345",94781,0,"The Pleasure Principle Diet: How to Lose Weight Permanently, Eating the Foods You Love","Robert E., M.D. Willner",1985
"0136843255",205473,0,"Politics of Canadian Foreign Policy","Kim Richard Nossal",1986
"013684555X",223814,10,"The Plaza cookbook","Eve Brown",1972
"0136854613",87141,0,"Ezra Pound, a Collection of Critical Essays.","Walter, Ed. Sutton",1963
"013686015X",102359,10,"Post Office Clerk-Carrier (Arco Postal Clerk &amp; Carrier)","Eve P. Steinberg",1989
"0136862705",273336,0,"The Power of Consultative Selling","Bryce Webster",1987
"0136864945",171118,8,"Portable C and Unix System Programming (Prentice-Hall Software Series)","J. E. Lapin",1987
"0136879144",217986,0,"SPSS 8.0 for Windows Brief Guide","Spss",1998
"0136879721",82893,0,"POWER OF YOUR SUBCONSCIOUS MIND","Joseph Murphy",1988
"0136879721",262186,0,"POWER OF YOUR SUBCONSCIOUS MIND","Joseph Murphy",1988
"0136883834",153662,10,"The Power to Persuade: A Rhetoric and Reader for Argumentative Writing","Sally De Witt Spurgin",1989
"0136885810",223253,0,"Success With the Gentle Art of Verbal Self-Defense","Suzette Haden Elgin",1989
"0136885810",250510,0,"Success With the Gentle Art of Verbal Self-Defense","Suzette Haden Elgin",1989
"0136903223",94691,0,"Introduction to Director and Lingo:  Multimedia  and Internet Applications","Nilson Neuschotz",1999
"0136911544",249894,6,"The practical handbook of public relations (A Spectrum book)","Robert S Cole",1981
"0136952062",178485,9,"Prentice-Hall handbook for writers","Glenn H Leggett",1985
"013695734X",74665,0,"Prentice-Hall handbook for writers","Glenn H Leggett",1982
"0136959407",110973,9,"Prentice-Hall Master Guide to Real Estate Investing","Oliver Ray Price",1982
"0136965679",249732,0,"Prentice-Hall R.N. review manual for state board examinations","Mary Ellen McMorrow",1983
"0136984991",245312,0,"Prentice Hall Literature: Bronze","Not Applicable (Na )",1989
"0136985807",159033,0,"Prentice Hall Literature Platinum","Wright",1989
"0137089171",12548,0,"Principles of Data-Base Management","James Martin",1976
"013718123X",76499,10,"Presidential Character: Predicting Performance In The White House (4th Edition)","James David Barber",1992
"0137206577",261105,0,"Process of Counseling and Therapy, The","Janet Moursund",1992
"0137231318",271593,0,"The Process of Counseling and Therapy","Janet Moursund",1990
"0137286767",262998,7,"Psychological testing: Principles and applications","Kevin R Murphy",1991
"0137313640",268070,9,"Prosperity Secret of the Ages","Ponder",1974
"0137320817",187763,10,"Psychic Discoveries Behind the Iron Curtain","Sheila Ostrander",1984
"0137326947",168280,0,"Psychology: Principles and application","Stephen Worchel",1986
"0137327846",114178,0,"Psychic Energy How to Change Desires Into Realities.","J. Weed",1988
"0137328761",236948,9,"Psychology: Principles and applications","Stephen Worchel",1989
"0137456212",112183,0,"The Second Industrial Revolution : Reinventing Your Business On the Web","John J. Donovan",1997
"0137456212",113270,0,"The Second Industrial Revolution : Reinventing Your Business On the Web","John J. Donovan",1997
"0137457790",55492,0,"American Government: Study Guide","Lynne Blesz Vestal",1997
"0137483287",139400,0,"Core Visual Basic 5 (Core Series)","Gary Cornell",1997
"0137486251",258673,0,"Reality Architecture: Building 3D Worlds In Java and VRML","Mccarthy",1998
"0137494335",89634,10,"Quick and Easy Microwaving Chicken (Quick &amp; Easy Microwaving Library)","Microwave Cooking Institute",1987
"0137530382",146113,0,"Rapid Healing Foods","B. Davis",1982
"0137530382",265281,0,"Rapid Healing Foods","B. Davis",1982
"0137531370",64241,0,"Rapid healing foods","Ben Davis",1980
"0137533195",16634,5,"Reaching out: Interpersonal effectiveness and self-actualization","David W Johnson",1981
"0137550928",62558,0,"Fiction 100: An Anthology of Short Stories with Reader's Guide","James H. Pickering",1997
"0137550928",205197,8,"Fiction 100: An Anthology of Short Stories with Reader's Guide","James H. Pickering",1997
"0137551002",29743,0,"A Concise History of the Arab-Israeli Conflict","Ian J. Bickerton",1997
"0137551576",185233,5,"Reading instruction for today's children","Nila Banton Smith",1980
"0137552246",33974,0,"Reading is for everyone: A guide for parents and teachers of exceptional children (Special education series)","Dorothy M Jeffree",1984
"0137552246",269835,0,"Reading is for everyone: A guide for parents and teachers of exceptional children (Special education series)","Dorothy M Jeffree",1984
"0137558104",249862,0,"Reading Diagnosis and Instruction: A C-A-L-M Approach","Susan Mandel Glazer",1988
"0137562632",82893,0,"The Prentice Hall Miracle Sales Guide (Business Classics (Paperback Prentice Hall))","Bureau of Business Practice",1993
"0137564120",113983,0,"Data Mining: A Hands-On Approach for Business Professionals (Data Warehousing Institute Series)","Robert Groth",1997
"0137573863",65258,6,"Chemistry","McMurry",1999
"0137581866",224349,7,"Asking the Right Questions: A Guide to Critical Thinking (5th Edition)","M. Neil Browne",1997
"0137610726",238120,0,"Readings in social psychology","Jonathan L Freedman",1971
"0137611560",198012,0,"Reading Real Russian: Book I","Irene Thompson",1990
"0137619669",171118,0,"Your Diet Coach","Barbara Debetz",1990
"0137619669",174700,0,"Your Diet Coach","Barbara Debetz",1990
"0137669658",192653,0,"Core Java 1.1 Volume II Advanced Features","Cay S. Horstmann",1998
"0137721870",134869,0,"Relax! With Self-Therapy/Ease: A Simple Illustrated Course","Bonnie Pendleton",1984
"0137736150",224349,0,"Resumes for better jobs","Lawrence D Brennan",1991
"013776667X",185249,0,"Understanding Family Communication (2nd Edition)","Janet Yerby",1994
"0137783418",126697,0,"Fundamentals of Mathematics (8th Edition)","William M. Setek",1998
"0137783663",216099,0,"Environmental Philosophy: From Animal Rights to Radical Ecology","Michael E. Zimmerman",1997
"0137791577",13920,0,"Returning to School: A Guide for Nurses","Donea L. Shane",1983
"0137808186",139222,5,"Right Brain Sex: Using Creative Visualization to Enhance Sexual Pleasure","Carol G. Wells",1989
"0137812523",198711,0,"Ring Around the Moon","Edith Fowke",1977
"0137822359",184299,0,"Rockin' steady; a guide to basketball &amp; cool,","Walt Frazier",1974
"0137828551",146113,0,"Phaidon Rome","LTD",1987
"0137835566",159033,0,"The real guide (The Real guides)","Gordon W McLachlan",1989
"0137836309",101942,0,"The Real Guide : Mexico","John Fisher",1989
"0137904290",236948,9,"Accounting Volume 1 Phc","HORNGREN",1999
"0137926154",87974,5,"Biology: Life on Earth","Teresa Audesirk",1998
"0137927061",229282,5,"Architecting Enterprise Solutions with UNIX Networking","John Blommers",1998
"0137960794",113983,0,"Decision Support in the Data Warehouse (Data Warehousing Institute Series from Prentice Hall Ptr)","Paul Gray",1997
"013797101X",46398,0,"The Seaside Natrualist: A Guide to Study at the Seashore","Deborah Coulombe",1990
"0137973241",232611,4,"The Second Centering Book: More Awareness Activities for Children, Parents, and Teachers (Transpersonal Books)","C. Gaylord Hendricks",1977
"0137973322",52917,9,"The second centering book: More awareness activities for children, parents, and teachers (Transpersonal books)","Gay Hendricks",1977
"0137976399",48159,5,"Secrets of the Chinese Herbalists","Richard Melvin Lucas",1977
"0137980906",127233,0,"Secrets of top money, extra income","Edith Line Johnson",1975
"0137982151",92652,0,"The Secrets of Practical Marketing for Small Business","Herman Holtz",1982
"0137994125",82893,0,"Secrets of Closing Sales (Business Classics (Hardcover Prentice Hall))","Charles B. Roth",1993
"0137994532",196018,0,"Computer Communications Security: Principles, Standard Protocols and Techniques","Warwick Ford",1994
"0137997272",221896,0,"Debating Points: Marriage and Family Issues","Henry L. Tischler",2000
"0138027293",116122,0,"Managing AFS : The Andrew File System","Richard Campbell",1998
"0138030405",277378,0,"Biology Study Guide","Kenneth Miller",1995
"0138030405",31295,0,"Biology Study Guide","Kenneth Miller",1995
"0138030405",102967,0,"Biology Study Guide","Kenneth Miller",1995
"0138030995",206438,10,"Biology","Kenneth R. Miller",1995
"0138033390",139643,0,"Self Hypnotism: The Techniques and Its Use in Daily Living","Leslie M. Lecron",1988
"0138060754",271284,0,"Selling Yourself: The Way to a Better Job","William R. Jeffers",1979
"0138072485",190185,6,"The Sewing Machine As a Creative Tool","Karen Bakke",1975
"0138077681",114216,0,"Shamans Daughter","N. Salerno",1980
"0138094764",13173,0,"S Handbook for Writers Edition","S",1989
"0138094764",198012,0,"S Handbook for Writers Edition","S",1989
"0138094764",254751,0,"S Handbook for Writers Edition","S",1989
"0138097151",198711,0,"Side By Side Book 1a","Steven J. and Bliss, Bill Molinsky",1983
"0138097232",198711,0,"Side By Side Book 1b","Steven J. and Bliss, Bill Molinsky",1983
"0138097720",198711,0,"Side by Side Book 2A","Steven J. and Bliss, Bill Molinsky",1983
"0138097984",198711,0,"Side by Side Book 2B","Steven J. and Bliss, Bill Molinsky",1983
"0138102767",55493,6,"The Silent Twins: A true story of love and hate, dreams and desolation, genius and destruction","Marjorie Wallace",1986
"0138102767",95316,0,"The Silent Twins: A true story of love and hate, dreams and desolation, genius and destruction","Marjorie Wallace",1986
"0138102767",117593,0,"The Silent Twins: A true story of love and hate, dreams and desolation, genius and destruction","Marjorie Wallace",1986
"0138105316",57620,5,"Since You Ask Me (Prentice Hall International Series in Industrial and Systems)","Ann Landers",1983
"0138106711",98741,0,"Sisson's Word and Expression Locator","Albert Franklin, Sisson",1966
"0138137595",80556,9,"Scanning Electron Microscopy and X-Ray Microanalysis","Robert Edward Lee",1992
"0138137676",146175,6,"Simon &amp; Schuster Handbook for Writers","Lynn Quitman Troyka",1992
"0138153094",13137,5,"Soccer Drills for Individual and Team Play","James P. McGettigan",1987
"0138196079",113983,0,"Social Usage","Anne R. Free",1969
"0138199051",7210,0,"Social Inequality in Canada Patterns Problems Policies","Curtis",1992
"0138204659",117384,5,"Sociology","David Popenoe",1991
"0138212562",262998,7,"Sociology for pleasure","Marcello Truzzi",1974
"0138219508",176693,0,"Soils and foundations","Cheng Liu",1987
"0138235848",173835,0,"The Soviet Union","Vadim Medish",1985
"0138242771",278418,0,"Spain&amp;Moroc $40day","Haggart",1989
"0138242771",165743,0,"Spain&amp;Moroc $40day","Haggart",1989
"0138245665",263357,0,"Speaker's Lifetime Library","Leonard Spinrad",1987
"0138251185",198711,0,"South America","Cesar Caviedes",1994
"0138252254",90286,0,"Speaker's Sourcebook II: Quotes, Stories, &amp; Anecdotes for Every Occasion (Speaker's Sourcebook)","Glenn Van Ekeren",1994
"0138262152",213350,0,"Speculations: The Reality Club (Reality Club)","John Brockman",1990
"0138269831",20961,0,"Speaker's Library of Business Stories, Anecdotes, and Humor","Joe Griffith",1990
"013838939X",277378,0,"Impact: A Guide to Business Communication (Esl English 2nd Language Series)","Margot Northey",1997
"013838939X",31295,0,"Impact: A Guide to Business Communication (Esl English 2nd Language Series)","Margot Northey",1997
"013838939X",102967,0,"Impact: A Guide to Business Communication (Esl English 2nd Language Series)","Margot Northey",1997
"0138404968",211979,5,"Stage Makeup","Richard Corson",1983
"0138404968",213350,0,"Stage Makeup","Richard Corson",1983
"0138405956",184299,0,"Stairway to doom: A Miss Mallard mystery","Robert M Quackenbush",1983
"0138414793",114581,0,"Out of Many: A History of the American People (Out of Many)","John MacK Faragher",1998
"0138430799",260550,0,"Starting Forth: An Introduction to the Forth Language and Operating System for Beginners and Professionals (Prentice-Hall Software Series)","Leo Brodie",1987
"0138451168",245963,0,"Staying Well With the Gentle Art of Verbal Self-Defense","Suzette Elgin",1990
"0138493081",126697,0,"Linear Algebra With Applications","Steven J. Leon",1997
"0138506450",161936,0,"Statistics for Business and Economics","Paul Newbold",1991
"0138513392",252848,8,"Strategies for successful writing: A rhetoric, reader, and handbook","James A Reinking",1988
"0138519323",31594,8,"Strategic Marketing for Nonprofit Organizations","Philip Kotler",1991
"0138520399",235105,0,"Strategies for successful writing: A rhetoric, reader, and handbook","James A Reinking",1991
"013852632X",23902,7,"The Stress Check: Coping With the Stresses of Life and Work","Cary L. Cooper",1980
"0138543801",113983,9,"Structured Analysis and System Specification","Tom Demarco",1979
"0138544891",113983,0,"Structured Computer Organization","Tannenbauma",1984
"0138545472",189334,10,"Structured Systems Analysis: Tools and Techniques. (Prentice-Hall software series)","Christopher P Gane",1979
"0138546622",177690,0,"Structured Computer Organization","Andrew S. Tanenbaum",1990
"0138574006",251422,0,"World Regional Geography: A Development Approach","David L. Clawson",1997
"0138582424",136676,0,"Mobile Agents","William R. Cockayne",1998
"0138594309",76499,10,"Subatomic Physics (2nd Edition)","Hans Frauenfelder",1991
"0138632669",171118,7,"Successful Management by Objectives: An Action Manual (Spectrum Book ; S480)","Karl G. Albrecht",1977
"0138700982",4495,7,"The Sun Never Sets: Travels to the Remaining Outposts of the British Empire","Simon Winchester",1986
"0138756090",216097,0,"Suddenly rich","Jerry Le Blanc",1978
"0138758727",111813,2,"The Sunday Times Book of Brain Teasers, Book 2","Victor Bryant",1983
"0138759227",72911,0,"Super handyman's encyclopedia of home repair hints;: Better, faster, cheaper, easier ideas for house and workshop","Al Carrell",1971
"0138759227",79441,7,"Super handyman's encyclopedia of home repair hints;: Better, faster, cheaper, easier ideas for house and workshop","Al Carrell",1971
"0138759227",151589,10,"Super handyman's encyclopedia of home repair hints;: Better, faster, cheaper, easier ideas for house and workshop","Al Carrell",1971
"0138759227",245963,0,"Super handyman's encyclopedia of home repair hints;: Better, faster, cheaper, easier ideas for house and workshop","Al Carrell",1971
"0138765901",68387,9,"Supervisor's Portable Answer Book","George Fuller",1989
"0138765901",107021,0,"Supervisor's Portable Answer Book","George Fuller",1989
"0138795290",113983,0,"Device Driver Interface/Driver-Kernel Interface Reference Manual for Intel Processors: Unix System V Release 4","UNIX System Laboratories",1992
"0138795452",116787,0,"Syntonics: A Dynamic New Program for Total Health &amp; Happiness","Robert Kronemeyer",1994
"0138797765",34531,0,"Sylvia Porter's Your Finances in the 1990s","Sylvia Porter",1990
"0138803455",11676,0,"Systems Architecting","Eberhardt Rechtin",1990
"0138803455",169644,0,"Systems Architecting","Eberhardt Rechtin",1990
"0138819203",171118,0,"TA The Total Handbook of Tranactional Analysis","Stan Woolums",1979
"0138876541",11687,0,"Nature's Prozac: Natural Therapies and Techniques to Rid Yourself of Anxiety, Depression, Panic Attacks &amp; Stress","Judith Sachs",1998
"013888496X",230115,0,"Using Observation in Early Childhood Education","Marian Marion",2003
"0138887101",38023,0,"Places and Regions in Global Context: Study Guide","Michael Pretes",1999
"0138887101",251394,7,"Places and Regions in Global Context: Study Guide","Michael Pretes",1999
"0138960690",63714,0,"Life of the Past (4th Edition)","William I. Ausich",1998
"0138961921",17950,9,"Organizational Behavior: Concepts, Controversies and Applications (Prentice Hall International Editions)","Stephen P. Robbins",1997
"0138965234",205080,0,"A First Course in Probability","Sheldon Ross",1997
"0138975213",257368,0,"Leadership in Organizations (4th Edition)","Gary A. Yukl",1997
"0139017852",86947,10,"The technique of screen &amp; television writing","Eugene Vale",1982
"0139024379",111019,0,"Telecult Power; The Amazing New Way to Psychic and Occult Wonders,","Reese P. Dubin",1970
"0139067027",262998,8,"Leadership in Organizations (Prentice Hall International Editions)","Gary Yukl",1997
"0139072543",15408,0,"Natures Pharmacy: Break the Drug Cycle With Safe, Natural Alternative Treatments for over 200 Common Health Conditions","Lynne Paige Walker",1998
"0139080058",94691,0,"Mastering the Internet and HTML","Ibrahim Zeid",1999
"0139118276",191716,5,"Test Your 80's Cultural Literacy","Carol Orsag Madigan",1989
"0139122133",113983,5,"Texas Real Estate (Texas Real Estate)","Charles J. Jacobus",1987
"0139132864",64754,5,"Gigabit Ethernet : Migrating to High-Bandwidth LANs (Prentice Hall Series in Computer Networking and Distributed Systems)","Jayant Kadambi",1998
"0139141014",101851,7,"Theory and Application of Digital Signal Processing","Lawrence R. Rabiner",1975
"0139147063",247429,0,"There is a Season: An Inspirational Journal","Robert F. Morneau",1986
"0139159355",242083,8,"Marriages and Families: Changes, Choices,  and Constraints","Nijole V. Benokraitis",1998
"0139178074",113364,0,"Think on Your Feet: The Art of Thinking and Speaking Under Pressure (Spectrum Book)","Kenneth Wydro",1981
"0139180532",213141,0,"Dave Sperling's Internet Guide","Dave Sperling",1998
"0139184678",101851,7,"Three Genres: The Writing of Poetry, Fiction, and Drama","Stephen Minot",1992
"013919035X",20961,7,"This Book Needs No Title: A Budget of Living Paradoxes","Raymond M. Smullyan",1980
"0139192344",15208,0,"This ...Is CBS: A Chronicle of 60 Years (Prentice-Hall corporate library)","Robert Slater",1988
"0139194320",157068,7,"Learn to Listen-Listen to Learn, Second Edition","Roni S. Lebauer",1999
"0139198792",249894,5,"Thoreaus Method","D. Pepe",1985
"0139200592",229282,7,"Thought Probes: Philosophy Through Science Fiction Literature","Fred Dycus Miller",1989
"013920430X",257028,7,"Three Genres: The Writing of Poetry, Fiction, and Drama","Stephen Minot",1987
"0139205128",55490,7,"365 starry nights: An introduction to astronomy for every night of the year (PHalarope books)","Chet Raymo",1982
"0139205128",112093,0,"365 starry nights: An introduction to astronomy for every night of the year (PHalarope books)","Chet Raymo",1982
"0139206205",174304,8,"Through Time and Culture: Introductory Readings In Philosophy","A. Pablo Iannone",1993
"0139210326",49889,0,"Gentle Art of Verbal Self Defense for Business Success","Suzette Haden Elgin",0
"0139210326",71900,0,"Gentle Art of Verbal Self Defense for Business Success","Suzette Haden Elgin",0
"0139210652",137627,7,"Lifetime Encyclopedia of Letters (3rd Revised and Expanded)","Harold E. Meyer",1998
"0139210652",241548,9,"Lifetime Encyclopedia of Letters (3rd Revised and Expanded)","Harold E. Meyer",1998
"0139216367",236283,0,"Time-Life Complete Home Repair Manual","Time-Life Books",1987
"0139218831",69971,0,"Time-Life Books Complete Home Improvement and Renovation Manual","Bob Vila",1991
"0139220224",38273,10,"Ww II: Time-Life Books History of the Second World War","Time-Life Editors",1989
"0139226745",116676,0,"TNT Power Within You","Claude M. Bristol",1974
"0139226745",223253,0,"TNT Power Within You","Claude M. Bristol",1974
"0139227253",56447,0,"Forty Studies That Changed Psychology: Explorations into the History of Psychological Research","Roger R. Hock",1998
"0139229485",36836,0,"To Live Until We Say Good-Bye","Elisabeth Kubler-Ross",1980
"0139245553",23872,5,"Today's witches","Susy Smith",1970
"013925305X",113983,0,"Topics in mathematics","Donald R Burleson",1977
"0139255451",249894,0,"The tortured Americans","Robert Burnette",1971
"0139260498",121407,0,"The Trade Secrets Handbook: Strategies and Techniques for Safeguarding Corporate Information (Spectrum Book)","Dennis Unkovic",1986
"0139269657",50376,5,"Arco Toefl Reading and Vocabulary Workbook (Toefl Reading and Vocabulary Workbook, 2nd ed)","Elizabeth Davy",1992
"0139295488",37644,0,"Long Ago in France: The Years in Dijon (Destination Book)","M.F.K. Fisher",1991
"0139303138",189334,10,"Transparent Watercolor: Painting Methods and Materials","Inessa Derkatsch",1980
"0139305122",94347,0,"Travels in the Land of the Gods: The Japan Diaries of Richard Gordon Smith","Richard Gordon Smith",1986
"0139305122",170229,0,"Travels in the Land of the Gods: The Japan Diaries of Richard Gordon Smith","Richard Gordon Smith",1986
"0139306455",158295,5,"Treasury of Home Remedies","Myra Cameron",1987
"0139309756",189334,0,"Triple your reading speed","Wade E Cutler",1988
"0139309756",250645,0,"Triple your reading speed","Wade E Cutler",1988
"0139316191",103304,0,"Unofficial Guide to Disney &amp; Epcot 1991","Press",1991
"0139320881",126585,0,"2-In-1: The Instant Cholesterol and Fat Control System","F.M. Oppenheimer",1990
"0139331506",127129,0,"Turning points (A Spectrum book ; S-441)","Clark E Moustakas",1977
"0139332502",156269,8,"Harry and Wally's Favorite TV Shows","Harry Castleman",1989
"0139334416",257269,0,"Unix System Administration Handbook","Evi Nemeth",1989
"0139341005",136237,0,"Understanding the Twelve Steps: An Interpretation and Guide for Recovering People","Terence T. Gorski",1991
"0139358919",201042,5,"Understanding human evolution","Frank E Poirier",1990
"0139363297",11676,8,"Understanding movies","Louis D Giannetti",1987
"0139363297",26583,0,"Understanding movies","Louis D Giannetti",1987
"0139363297",57108,0,"Understanding movies","Louis D Giannetti",1987
"0139363297",116433,5,"Understanding movies","Louis D Giannetti",1987
"0139364285",104399,10,"An Introduction to Programming with Visual Basic 6.0 (4th Edition)","David I. Schneider",1998
"013937681X",203603,10,"The UNIX Programming Environment","Brian W. Kernighan",1984
"0139378308",111947,0,"The Unicorn's Secret: Murder in the Age of Aquarius","Steven Levy",1988
"0139378707",35050,0,"Unwinding, How to Turn Stress into Positive Energy","Christine Ann. Leatz",1981
"013938779X",69355,0,"The \""""""""Unknown\"""""""" Reality, Vol. 1: A Seth Book","Jane Roberts",1981
"0139399674",146113,0,"Use Your Head","Stuart Litvak",1982
"0139399674",265281,0,"Use Your Head","Stuart Litvak",1982
"0139405933",86947,10,"Varieties of visual experience","Edmund Burke Feldman",1973
"0139421521",238186,0,"VAX Assembly Language (2nd Edition)","Sara Baase",1992
"0139423842",165759,5,"The first-time investor","Bob Madigan",1986
"013942590X",180378,8,"Visual Forces: An Introduction to Design","Benjamin Martinez",1988
"0139428976",190708,0,"Unofficial Guide to Disneyland (Frommer's Unofficial Guides)","Bob Sehlinger",1988
"0139434178",217106,7,"Just Xml","John E. Simpson",1998
"0139444629",119836,5,"W. C. Fields by Himself: His Intended Autobiography","W. C. Fields",1973
"0139445463",65258,6,"War and space","Robert Salkeld",1970
